item_code,item_name,uom,item_group,description
NT210041,Test xét nghiệm nhanh kháng nguyên COVID-19(Lungene),test,Vật tư tiêu hao,Hãng SX: Hangzhou CLọgene Biotech/Trung Quốc
HC0122,Testosterone II,test,Hóa chất,
HC18068,Testosterone II,test,Hóa chất,
HC18069,Testosterone II CS,Hộp,Hóa chất,
HC0123,Testosterone II CS,Hộp,Hóa chất,
HCKN.19.03,Thạch casein đậu tương,Chai,Hóa chất,
NT230047,Thám Trâm Prime,Cái,Vật tư tiêu hao,Hãng SX: Pakistan
NT0021,Thẻ xét nghiệm EG7 + ( Số lô: N19296; HSD: 21/06/2020) Nhà sản xuất: AbBộtt Point of Care - Canada,Thẻ,Vật tư tiêu hao,Hãng SX: Canada
VT317,Thẻ xét nghiệm EG7+,Thẻ,Vật tư tiêu hao,Hãng SX: AbBộtt Point of Care - Canada
NT0108,Thẻ xét nghiệm EG7+ ( số lô N20147 HSD 23/01/2021,Thẻ,Vật tư tiêu hao,Hãng SX: Canada
NT0049,Thẻ xét nghiệm EG7+ ( Số lô: W19329: HSD: 24/07/2020) Nhà sản xuất: AbBộtt point of Care - Canada,Hộp,Vật tư tiêu hao,Hãng SX: Canada
NT0153,Thẻ xét nghiệm EG7+. Nhà sản xuất: AbBộtt Point of Care-Canada,Thẻ,Vật tư tiêu hao,Hãng SX: Canada
NT260006,Thẻ xét nghiệm G3+,Thẻ,Vật tư tiêu hao,Hãng SX: Abobott Point of Care Canada limited | Nước SX: Canada
NT260022,Thẻ xét nghiệm G3+,Thẻ,Vật tư tiêu hao,Hãng SX: Abbott Point of Care Canada Limited | Nước SX: Canada
NT230169,Thẻ xét nghiêm i-STAT EG7+Cartridge,test,Vật tư tiêu hao,Hãng SX: AbBộtt/Canada
VT250077,Thẻ xét nghiệm i-STAT G3+Cartridge,Thẻ,Vật tư tiêu hao,Hãng SX: Abbott Point of Care Canada limited | Nước SX: Canada
